1, 1500, 5.0
1, 1189, 5.0
1, 1467, 5.0
1, 1293, 5.0
1, 1367, 4.7517056
1, 1449, 4.621874
1, 408, 4.522056
1, 1594, 4.503701
1, 1398, 4.499245
1, 1642, 4.4950128
2, 1293, 5.0
2, 1500, 5.0
2, 1189, 5.0
2, 1449, 4.608227
2, 1594, 4.5082903
2, 1398, 4.5012727
2, 1642, 4.4940286
2, 318, 4.4920487
2, 408, 4.4739833
2, 64, 4.471321
3, 1500, 5.0
3, 1189, 5.0
3, 1293, 5.0
3, 1449, 4.76954
3, 1450, 4.686902
3, 119, 4.6347218
3, 1594, 4.502717
3, 114, 4.475932
3, 64, 4.463648
3, 850, 4.4575405
4, 1500, 5.0
4, 1189, 5.0
4, 1293, 5.0
4, 1467, 5.0
4, 1594, 4.566541
4, 1449, 4.510923
4, 318, 4.483266
4, 64, 4.4768896
4, 169, 4.4529614
4, 483, 4.4506135
5, 1467, 5.0
5, 1189, 5.0
5, 1500, 5.0
5, 1293, 5.0
5, 1642, 4.66432
5, 1449, 4.6188726
5, 1463, 4.5162835
5, 1594, 4.50133
5, 119, 4.4982524
5, 1398, 4.4977064
6, 1500, 5.0
6, 1467, 5.0
6, 1293, 5.0
6, 1189, 5.0
6, 1191, 4.842143
6, 1449, 4.6171236
6, 1367, 4.509854
6, 1594, 4.501792
6, 1398, 4.500518
6, 1642, 4.5000787
7, 1467, 5.0
7, 1500, 5.0
7, 1189, 5.0
7, 1293, 5.0
7, 1449, 4.6135526
7, 408, 4.5030456
7, 1594, 4.501913
7, 1398, 4.499555
7, 1642, 4.4994783
7, 119, 4.4976425
8, 1467, 5.0
8, 1500, 5.0
8, 1293, 5.0
8, 1189, 5.0
8, 1367, 4.949368
8, 1449, 4.581231
8, 1463, 4.5352154
8, 408, 4.5232415
8, 1594, 4.5016828
8, 119, 4.4967675
9, 1500, 5.0
9, 1189, 5.0
9, 1467, 5.0
9, 1293, 5.0
9, 1367, 4.585714
9, 1449, 4.582687
9, 1594, 4.561357
9, 1398, 4.502042
9, 408, 4.50002
9, 1642, 4.4965186
10, 1500, 5.0
10, 1293, 5.0
10, 1467, 5.0
10, 1189, 5.0
10, 1449, 4.620666
10, 1656, 4.616984
10, 1463, 4.5501456
10, 1594, 4.5089827
10, 1642, 4.500475
10, 1398, 4.4999256
