1, 117, 0.9953521
1, 151, 0.9953065
1, 121, 0.9952347
1, 405, 0.99500656
1, 50, 0.99491894
1, 118, 0.9941485
1, 181, 0.9940194
1, 222, 0.99364114
1, 7, 0.99362695
1, 235, 0.9936167
2, 403, 0.9964998
2, 233, 0.9964557
2, 161, 0.9961404
2, 231, 0.9960143
2, 385, 0.9959657
2, 96, 0.995896
2, 550, 0.9957389
2, 62, 0.99569064
2, 226, 0.99564976
2, 568, 0.9955941
3, 405, 0.99037176
3, 235, 0.9893157
3, 121, 0.9880421
3, 250, 0.9880041
3, 100, 0.98773706
3, 117, 0.9874833
3, 17, 0.9873087
3, 123, 0.9870925
3, 410, 0.98665476
3, 763, 0.986636
4, 56, 0.99627966
4, 174, 0.99601305
4, 204, 0.9959589
4, 202, 0.99582237
4, 385, 0.9957967
4, 79, 0.99560386
4, 96, 0.99553037
4, 172, 0.99549013
4, 216, 0.9954613
4, 210, 0.9954188
5, 218, 0.99432045
5, 98, 0.9922024
5, 234, 0.99179345
5, 56, 0.99115413
5, 53, 0.9909523
5, 200, 0.9907549
5, 559, 0.9907312
5, 672, 0.99036473
5, 54, 0.9901664
5, 226, 0.99005646
6, 547, 0.97414243
6, 923, 0.97221303
6, 221, 0.97155356
6, 1129, 0.9711365
6, 14, 0.96929955
6, 285, 0.96872216
6, 224, 0.96795964
6, 1068, 0.9657335
6, 13, 0.96419734
6, 958, 0.9626644
7, 117, 0.9955004
7, 100, 0.99548376
7, 405, 0.99411255
7, 121, 0.99411076
7, 273, 0.99403757
7, 1, 0.99362695
7, 151, 0.99349225
7, 235, 0.99287444
7, 11, 0.99284214
7, 24, 0.99267924
8, 204, 0.9952286
8, 71, 0.99448764
8, 69, 0.9944172
8, 423, 0.9943667
8, 173, 0.99416584
8, 172, 0.9940506
8, 174, 0.9940325
8, 58, 0.9939348
8, 238, 0.9938603
8, 168, 0.99372274
9, 276, 0.99450094
9, 100, 0.9936224
9, 508, 0.9910352
9, 237, 0.99008524
9, 124, 0.99006104
9, 628, 0.98963594
9, 7, 0.98928875
9, 471, 0.9889886
9, 591, 0.98890734
9, 15, 0.98842293
10, 20, 0.98759043
10, 713, 0.9847893
10, 582, 0.9836043
10, 13, 0.98339003
10, 190, 0.9832126
10, 52, 0.9828053
10, 275, 0.981985
10, 1115, 0.9810662
10, 116, 0.98054993
10, 14, 0.98008114
